epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.2388,1.65479,2.50186,1.13524,0.16645,0.83882,0.45067,0.25796,1.44078,inf,1.06164,0.069031,3.1e-05,3.1e-05
2,22.6257,1.56092,1.47987,1.09426,0.57995,0.73081,0.71233,0.42416,1.36042,inf,1.03853,0.0370605,6.05052e-05,6.05052e-05
3,31.9916,1.50394,1.22157,1.06795,0.74835,0.75206,0.81156,0.4992,1.30824,1.13674,1.02364,0.00508748,8.7476e-05,8.7476e-05
4,41.6578,1.45381,1.11782,1.05796,0.82191,0.79808,0.87589,0.5566,1.26235,0.99405,1.00449,8.812e-05,8.812e-05,8.812e-05
5,50.6712,1.42893,1.07212,1.04151,0.85976,0.82437,0.90298,0.5799,1.25025,0.97337,0.9986,8.416e-05,8.416e-05,8.416e-05
6,59.8249,1.38535,1.05629,1.0358,0.87113,0.85226,0.9191,0.59756,1.22645,0.92125,0.99064,8.02e-05,8.02e-05,8.02e-05
7,68.7899,1.38256,1.02115,1.02217,0.88438,0.85766,0.92605,0.60614,1.19955,0.91073,0.98157,7.624e-05,7.624e-05,7.624e-05
8,77.7078,1.36366,1.01009,1.01833,0.89195,0.85978,0.9299,0.61201,1.18309,0.90937,0.9762,7.228e-05,7.228e-05,7.228e-05
9,86.9299,1.33946,0.98992,1.01489,0.90161,0.86771,0.93638,0.62082,1.17607,0.88378,0.97283,6.832e-05,6.832e-05,6.832e-05
10,95.8342,1.34247,0.98038,1.0121,0.90149,0.86859,0.93634,0.62373,1.16766,0.8715,0.96769,6.436e-05,6.436e-05,6.436e-05
11,104.974,1.34505,0.96968,1.01023,0.90555,0.87539,0.94008,0.62722,1.16099,0.86508,0.96694,6.04e-05,6.04e-05,6.04e-05
12,114.206,1.32666,0.95934,1.00424,0.9085,0.87838,0.94175,0.62918,1.15506,0.85681,0.96408,5.644e-05,5.644e-05,5.644e-05
13,123.149,1.30423,0.94602,1.00072,0.91297,0.883,0.94511,0.63869,1.14039,0.84797,0.96019,5.248e-05,5.248e-05,5.248e-05
14,132.171,1.31179,0.94405,1.00096,0.91395,0.88611,0.94677,0.63813,1.14051,0.84356,0.95988,4.852e-05,4.852e-05,4.852e-05
15,141.294,1.30362,0.93905,0.99778,0.91473,0.88863,0.94794,0.63835,1.14228,0.8405,0.95986,4.456e-05,4.456e-05,4.456e-05
16,154.464,1.18775,1.01259,0.99156,0.92432,0.89342,0.95191,0.63619,1.14266,0.84387,0.95699,4.06e-05,4.06e-05,4.06e-05
17,163.055,1.19201,0.97643,0.99103,0.92684,0.89492,0.95315,0.64572,1.12693,0.84122,0.95176,3.664e-05,3.664e-05,3.664e-05
18,171.19,1.20167,0.97077,0.98824,0.93005,0.89493,0.95364,0.64931,1.12261,0.84108,0.94843,3.268e-05,3.268e-05,3.268e-05
19,179.784,1.19573,0.95922,0.98485,0.92878,0.89434,0.95354,0.65243,1.11357,0.84641,0.94529,2.872e-05,2.872e-05,2.872e-05
20,187.939,1.19493,0.96383,0.98929,0.93217,0.89493,0.95442,0.65094,1.11749,0.83951,0.94674,2.476e-05,2.476e-05,2.476e-05
21,196.587,1.20254,0.96077,0.9854,0.92918,0.89372,0.95368,0.65143,1.11467,0.83426,0.94625,2.08e-05,2.08e-05,2.08e-05
22,204.588,1.18385,0.94285,0.98238,0.9322,0.89504,0.95444,0.6562,1.10893,0.82387,0.94457,1.684e-05,1.684e-05,1.684e-05
23,212.695,1.17433,0.93876,0.98461,0.93213,0.89396,0.95454,0.65591,1.10871,0.82162,0.94394,1.288e-05,1.288e-05,1.288e-05
24,220.827,1.17089,0.92776,0.98173,0.93164,0.8935,0.95459,0.6573,1.10633,0.81861,0.94323,8.92e-06,8.92e-06,8.92e-06
25,229.161,1.19918,0.94476,0.98362,0.93334,0.8937,0.95498,0.65711,1.10725,0.81946,0.94338,4.96e-06,4.96e-06,4.96e-06
