epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.3071,1.63671,2.67392,1.15702,0.19128,0.96397,0.8011,0.49541,1.24387,inf,0.99025,0.06931,0.00031,0.00031
2,23.0865,1.341,1.08988,1.02764,0.93333,0.85952,0.94592,0.65609,1.10386,1.06216,0.94777,0.0376051,0.000605052,0.000605052
3,33.4384,1.24499,0.8414,0.98536,0.96109,0.90874,0.96486,0.67818,1.09009,0.89586,0.94325,0.00587476,0.00087476,0.00087476
4,43.0704,1.17904,0.77083,0.96833,0.96336,0.9218,0.97006,0.70111,1.03038,0.7445,0.92345,0.0008812,0.0008812,0.0008812
5,52.6933,1.14466,0.7323,0.94883,0.96446,0.92774,0.97194,0.71471,0.9911,0.67457,0.91047,0.0008416,0.0008416,0.0008416
6,62.0168,1.10637,0.71103,0.94479,0.97287,0.93684,0.97479,0.71836,0.96475,0.65203,0.89979,0.000802,0.000802,0.000802
7,71.5725,1.09697,0.68616,0.93038,0.97363,0.93827,0.97579,0.72682,0.94171,0.60684,0.8928,0.0007624,0.0007624,0.0007624
8,81.1512,1.08248,0.67652,0.92934,0.97538,0.94169,0.97794,0.7352,0.92869,0.5996,0.88992,0.0007228,0.0007228,0.0007228
9,90.537,1.06562,0.66219,0.92639,0.97715,0.9428,0.97826,0.74312,0.90473,0.58128,0.8842,0.0006832,0.0006832,0.0006832
10,100.019,1.06513,0.65515,0.92308,0.98074,0.94531,0.97919,0.74471,0.89993,0.5786,0.88159,0.0006436,0.0006436,0.0006436
11,109.592,1.06311,0.64855,0.91946,0.97839,0.94641,0.979,0.74389,0.89941,0.57068,0.88079,0.000604,0.000604,0.000604
12,119.285,1.05116,0.64368,0.91599,0.9811,0.94818,0.98017,0.74347,0.89802,0.57408,0.87885,0.0005644,0.0005644,0.0005644
13,128.414,1.031,0.63011,0.91378,0.98139,0.94994,0.98087,0.75295,0.87645,0.55454,0.87524,0.0005248,0.0005248,0.0005248
14,137.983,1.03466,0.62854,0.91307,0.98203,0.95061,0.98112,0.74845,0.87925,0.56209,0.87598,0.0004852,0.0004852,0.0004852
15,147.689,1.03246,0.62781,0.91149,0.98337,0.94919,0.98077,0.74832,0.8827,0.55317,0.8751,0.0004456,0.0004456,0.0004456
16,160.959,0.95596,0.65948,0.91055,0.98204,0.95674,0.98285,0.75142,0.88045,0.6388,0.87134,0.000406,0.000406,0.000406
17,169.806,0.95064,0.62134,0.90484,0.9835,0.95162,0.98257,0.75641,0.86484,0.55576,0.86676,0.0003664,0.0003664,0.0003664
18,178.422,0.95348,0.61666,0.90256,0.98294,0.95331,0.98271,0.75436,0.87336,0.55272,0.86803,0.0003268,0.0003268,0.0003268
19,187.273,0.94393,0.60695,0.89869,0.98307,0.95254,0.98385,0.75696,0.8659,0.54797,0.86602,0.0002872,0.0002872,0.0002872
20,196.109,0.9426,0.60737,0.902,0.98449,0.95129,0.98438,0.76086,0.85683,0.54462,0.86492,0.0002476,0.0002476,0.0002476
21,204.692,0.94961,0.60807,0.89968,0.9838,0.9539,0.98433,0.7591,0.86213,0.54183,0.86534,0.000208,0.000208,0.000208
22,213.371,0.93182,0.59319,0.8973,0.98398,0.9528,0.98444,0.75976,0.85953,0.53935,0.86464,0.0001684,0.0001684,0.0001684
23,221.658,0.92706,0.5913,0.89993,0.98312,0.95373,0.98443,0.76014,0.85462,0.53622,0.86399,0.0001288,0.0001288,0.0001288
24,230.186,0.9179,0.58147,0.89514,0.98294,0.95397,0.98453,0.7602,0.85445,0.53452,0.86407,8.92e-05,8.92e-05,8.92e-05
25,238.758,0.93853,0.59392,0.89721,0.98355,0.95399,0.98485,0.76174,0.85344,0.53568,0.8638,4.96e-05,4.96e-05,4.96e-05
