epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.6573,1.49269,1.92763,1.03287,0.95659,0.82553,0.94581,0.60534,1.26792,inf,0.96275,0.06931,0.00031,0.00031
2,23.8031,1.21737,0.82931,0.93281,0.95109,0.9227,0.96446,0.65983,1.13577,0.95489,0.90563,0.0376051,0.000605052,0.000605052
3,34.5712,1.12795,0.71543,0.90881,0.97392,0.92856,0.97445,0.7064,0.98639,0.82014,0.87326,0.00587476,0.00087476,0.00087476
4,44.5162,1.07763,0.66189,0.90267,0.98161,0.94868,0.98211,0.74249,0.93493,0.63381,0.86706,0.0008812,0.0008812,0.0008812
5,54.358,1.05984,0.6336,0.89306,0.98634,0.95789,0.98682,0.75158,0.87956,0.613,0.85391,0.0008416,0.0008416,0.0008416
6,63.9259,1.01884,0.6135,0.88777,0.98513,0.96288,0.9879,0.73277,0.94013,0.5749,0.86372,0.000802,0.000802,0.000802
7,73.7208,1.01223,0.58809,0.88057,0.98637,0.96363,0.98968,0.75672,0.89665,0.53164,0.85422,0.0007624,0.0007624,0.0007624
8,83.3416,0.97901,0.56774,0.8755,0.99022,0.969,0.99159,0.75697,0.8735,0.50932,0.85076,0.0007228,0.0007228,0.0007228
9,93.1105,0.96224,0.5498,0.87313,0.99055,0.96817,0.99175,0.77746,0.82151,0.48503,0.83921,0.0006832,0.0006832,0.0006832
10,102.793,0.96673,0.54195,0.87117,0.98854,0.97114,0.99198,0.75942,0.89199,0.49906,0.85053,0.0006436,0.0006436,0.0006436
11,112.654,0.95149,0.53152,0.86743,0.99008,0.97232,0.99247,0.77844,0.81567,0.46668,0.83836,0.000604,0.000604,0.000604
12,122.637,0.93172,0.52025,0.86356,0.98974,0.97275,0.99249,0.76825,0.84003,0.46711,0.83971,0.0005644,0.0005644,0.0005644
13,132.34,0.91495,0.5057,0.86245,0.99187,0.974,0.99323,0.78393,0.80855,0.44987,0.83375,0.0005248,0.0005248,0.0005248
14,142.265,0.91612,0.50456,0.86149,0.99247,0.97462,0.99312,0.7867,0.79088,0.44564,0.83232,0.0004852,0.0004852,0.0004852
15,152.032,0.90805,0.49962,0.85961,0.99052,0.97539,0.99329,0.78348,0.80714,0.44329,0.83318,0.0004456,0.0004456,0.0004456
16,165.581,0.8643,0.52827,0.85856,0.99045,0.97549,0.99295,0.78283,0.78542,0.46654,0.83004,0.000406,0.000406,0.000406
17,174.546,0.83808,0.4869,0.85112,0.98813,0.97757,0.99326,0.79223,0.78081,0.43377,0.82869,0.0003664,0.0003664,0.0003664
18,183.041,0.8378,0.48021,0.85012,0.98907,0.97598,0.99316,0.79337,0.78428,0.43815,0.82931,0.0003268,0.0003268,0.0003268
19,192.133,0.82928,0.46551,0.84869,0.991,0.97505,0.99343,0.77866,0.81954,0.43827,0.83233,0.0002872,0.0002872,0.0002872
20,200.942,0.82545,0.46425,0.84855,0.99085,0.9769,0.99361,0.79496,0.77451,0.42155,0.82673,0.0002476,0.0002476,0.0002476
21,209.45,0.82684,0.45886,0.8459,0.98928,0.98009,0.99372,0.79846,0.75639,0.41429,0.82348,0.000208,0.000208,0.000208
22,217.717,0.80427,0.44518,0.84406,0.99264,0.97682,0.99368,0.7949,0.77327,0.41181,0.8261,0.0001684,0.0001684,0.0001684
23,226.452,0.79948,0.44032,0.84436,0.9914,0.97836,0.99368,0.80169,0.7452,0.40312,0.82177,0.0001288,0.0001288,0.0001288
24,234.88,0.78252,0.43005,0.83992,0.99224,0.9779,0.99371,0.80435,0.73662,0.39892,0.82078,8.92e-05,8.92e-05,8.92e-05
25,243.558,0.79315,0.4355,0.84051,0.992,0.97904,0.99376,0.80399,0.74282,0.39807,0.82149,4.96e-05,4.96e-05,4.96e-05
