epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.9389,1.61204,2.20088,1.11239,0.74102,0.78107,0.81597,0.48359,1.3493,1.47405,1.02983,0.06931,0.00031,0.00031
2,22.277,1.43981,1.06983,1.03937,0.85623,0.82388,0.90096,0.57374,1.27485,1.18183,0.9993,0.0376051,0.000605052,0.000605052
3,31.4167,1.3684,0.94625,1.01018,0.88499,0.86175,0.92857,0.58886,1.24031,0.86231,0.9794,0.00587476,0.00087476,0.00087476
4,41.106,1.32129,0.90647,1.0028,0.90985,0.88527,0.94526,0.63608,1.15168,0.84125,0.95543,0.0008812,0.0008812,0.0008812
5,50.2509,1.30449,0.87612,0.99049,0.9141,0.8893,0.94849,0.63515,1.14449,0.79381,0.95299,0.0008416,0.0008416,0.0008416
6,59.0906,1.26284,0.85849,0.98668,0.93224,0.89635,0.95451,0.65254,1.10758,0.7748,0.94392,0.000802,0.000802,0.000802
7,68.1863,1.26139,0.83131,0.9749,0.94017,0.90405,0.95998,0.66387,1.10076,0.76165,0.94317,0.0007624,0.0007624,0.0007624
8,77.2342,1.24731,0.81872,0.97357,0.94185,0.91248,0.96245,0.66926,1.09158,0.74848,0.94021,0.0007228,0.0007228,0.0007228
9,86.1658,1.23134,0.80087,0.97117,0.94433,0.91206,0.96298,0.67035,1.08615,0.72773,0.94126,0.0006832,0.0006832,0.0006832
10,95.0928,1.22873,0.78982,0.96879,0.94532,0.91366,0.96367,0.66985,1.07804,0.73131,0.93118,0.0006436,0.0006436,0.0006436
11,104.441,1.22608,0.78053,0.96536,0.95139,0.91903,0.9662,0.68098,1.05979,0.71304,0.92889,0.000604,0.000604,0.000604
12,113.498,1.21366,0.77022,0.96082,0.95591,0.91778,0.96746,0.68309,1.0636,0.70531,0.92843,0.0005644,0.0005644,0.0005644
13,122.432,1.19378,0.75508,0.95991,0.95962,0.92625,0.97028,0.68579,1.05934,0.69673,0.92779,0.0005248,0.0005248,0.0005248
14,131.565,1.19665,0.75084,0.95873,0.95159,0.91632,0.96751,0.68389,1.06036,0.69347,0.92592,0.0004852,0.0004852,0.0004852
15,140.532,1.1914,0.74601,0.95596,0.95978,0.92598,0.97127,0.69485,1.04139,0.67506,0.92158,0.0004456,0.0004456,0.0004456
16,153.842,1.08927,0.76217,0.95551,0.95996,0.91769,0.9687,0.68566,1.05335,0.67154,0.92372,0.000406,0.000406,0.000406
17,162.361,1.08805,0.72764,0.95053,0.95999,0.92558,0.97115,0.68958,1.03966,0.66755,0.91837,0.0003664,0.0003664,0.0003664
18,170.761,1.09554,0.72192,0.9478,0.96159,0.93062,0.97231,0.69773,1.01703,0.68304,0.91234,0.0003268,0.0003268,0.0003268
19,178.96,1.09312,0.71013,0.94576,0.96454,0.92746,0.97338,0.69864,1.02388,0.6503,0.91474,0.0002872,0.0002872,0.0002872
20,187.125,1.0872,0.7116,0.94841,0.96489,0.92206,0.97205,0.70018,1.02104,0.64933,0.91133,0.0002476,0.0002476,0.0002476
21,195.121,1.08987,0.70638,0.94322,0.96308,0.92456,0.97274,0.70246,1.01377,0.64635,0.91059,0.000208,0.000208,0.000208
22,203.338,1.07231,0.69327,0.94137,0.96353,0.92651,0.97375,0.70441,1.01358,0.64452,0.9109,0.0001684,0.0001684,0.0001684
23,211.932,1.06574,0.69096,0.9433,0.96768,0.92491,0.97391,0.70319,1.01436,0.64093,0.91085,0.0001288,0.0001288,0.0001288
24,219.916,1.05631,0.68031,0.93861,0.96426,0.92904,0.97406,0.70568,1.00484,0.63638,0.90852,8.92e-05,8.92e-05,8.92e-05
25,227.958,1.07988,0.69177,0.94043,0.96394,0.92715,0.97429,0.70696,1.00069,0.63925,0.90702,4.96e-05,4.96e-05,4.96e-05
