epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.3601,1.70463,2.82676,1.18731,0.1499,0.75542,0.33299,0.17971,1.33889,inf,1.03651,0.069031,3.1e-05,3.1e-05
2,23.2532,1.51578,1.84928,1.10792,0.18878,0.95137,0.66187,0.39252,1.26629,inf,1.01676,0.0370605,6.05052e-05,6.05052e-05
3,33.4849,1.44481,1.57652,1.07304,0.75919,0.74273,0.80762,0.51152,1.21827,inf,1.00022,0.00508748,8.7476e-05,8.7476e-05
4,43.0291,1.37805,1.27341,1.05472,0.84793,0.82192,0.90229,0.59842,1.16979,1.08828,0.97858,8.812e-05,8.812e-05,8.812e-05
5,52.5118,1.32611,1.1242,1.02383,0.90453,0.85224,0.93263,0.63043,1.12677,1.02814,0.96334,8.416e-05,8.416e-05,8.416e-05
6,61.9342,1.27196,1.07888,1.01283,0.93095,0.87712,0.94865,0.65087,1.10622,0.91763,0.95543,8.02e-05,8.02e-05,8.02e-05
7,71.3815,1.25978,1.01967,0.99406,0.941,0.89075,0.95586,0.66302,1.08525,0.87745,0.94852,7.624e-05,7.624e-05,7.624e-05
8,80.7082,1.23681,0.9991,0.98883,0.94418,0.89896,0.95979,0.6718,1.06638,0.85204,0.94213,7.228e-05,7.228e-05,7.228e-05
9,90.2003,1.20993,0.96439,0.98342,0.94766,0.90257,0.9618,0.67859,1.05131,0.8327,0.9366,6.832e-05,6.832e-05,6.832e-05
10,99.5254,1.20845,0.94376,0.97907,0.94631,0.90452,0.96254,0.68542,1.03815,0.81631,0.93102,6.436e-05,6.436e-05,6.436e-05
11,109.026,1.20493,0.91945,0.97491,0.94832,0.90937,0.96416,0.68778,1.03462,0.80271,0.93085,6.04e-05,6.04e-05,6.04e-05
12,118.838,1.18728,0.9098,0.96928,0.94894,0.91163,0.96493,0.69208,1.02238,0.79328,0.92614,5.644e-05,5.644e-05,5.644e-05
13,128.23,1.16613,0.89185,0.96682,0.9506,0.91641,0.96597,0.69734,1.0161,0.78349,0.92389,5.248e-05,5.248e-05,5.248e-05
14,137.842,1.16893,0.88362,0.96533,0.95228,0.9202,0.96662,0.69901,1.01109,0.77597,0.92223,4.852e-05,4.852e-05,4.852e-05
15,147.334,1.16378,0.87924,0.96322,0.9532,0.92037,0.96707,0.70184,1.0071,0.77032,0.92069,4.456e-05,4.456e-05,4.456e-05
16,160.748,1.07687,1.01291,0.96188,0.96006,0.92463,0.97021,0.69439,1.03172,0.77929,0.92219,4.06e-05,4.06e-05,4.06e-05
17,169.714,1.075,0.97731,0.95615,0.96562,0.92467,0.97036,0.70525,1.00736,0.77855,0.91368,3.664e-05,3.664e-05,3.664e-05
18,178.007,1.083,0.9785,0.95357,0.96647,0.92634,0.97056,0.70528,1.0079,0.77579,0.91341,3.268e-05,3.268e-05,3.268e-05
19,186.824,1.0771,0.96381,0.94971,0.96551,0.92652,0.97051,0.70755,0.99939,0.77426,0.91047,2.872e-05,2.872e-05,2.872e-05
20,195.615,1.0741,0.96643,0.95401,0.96339,0.92752,0.97117,0.70597,1.00243,0.77059,0.91089,2.476e-05,2.476e-05,2.476e-05
21,204.001,1.08421,0.96589,0.95129,0.96205,0.92609,0.97088,0.70793,0.99553,0.76876,0.90929,2.08e-05,2.08e-05,2.08e-05
22,212.398,1.06364,0.94064,0.94792,0.96258,0.9268,0.97102,0.7091,0.99152,0.76307,0.90844,1.684e-05,1.684e-05,1.684e-05
23,220.924,1.05549,0.93644,0.95095,0.96254,0.92598,0.97118,0.70867,0.99354,0.76226,0.9084,1.288e-05,1.288e-05,1.288e-05
24,229.531,1.05164,0.92112,0.94725,0.96279,0.92574,0.97095,0.71122,0.98896,0.75993,0.90763,8.92e-06,8.92e-06,8.92e-06
25,237.948,1.07648,0.93833,0.94874,0.96345,0.92546,0.97113,0.71058,0.99012,0.75903,0.90765,4.96e-06,4.96e-06,4.96e-06
