epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.0397,1.46977,2.15581,1.03048,0.29244,0.85344,0.6743,0.319,1.66234,inf,1.07445,0.069031,3.1e-05,3.1e-05
2,25.5228,1.20155,0.9726,0.935,0.9359,0.77549,0.90104,0.56187,1.20695,inf,0.94058,0.0370605,6.05052e-05,6.05052e-05
3,36.9442,1.14116,0.81712,0.91748,0.97465,0.90551,0.96304,0.68272,1.01682,0.90983,0.89236,0.00508748,8.7476e-05,8.7476e-05
4,49.0885,1.08591,0.75371,0.90959,0.97838,0.93491,0.97679,0.73902,0.91924,0.71466,0.87532,8.812e-05,8.812e-05,8.812e-05
5,60.4361,1.064,0.72174,0.90049,0.98174,0.94379,0.98013,0.74908,0.89408,0.65104,0.86695,8.416e-05,8.416e-05,8.416e-05
6,71.5008,1.02889,0.70964,0.89706,0.98335,0.94566,0.98055,0.752,0.88873,0.62537,0.8618,8.02e-05,8.02e-05,8.02e-05
7,82.7209,1.02995,0.68477,0.8894,0.98373,0.94942,0.98136,0.75511,0.89059,0.6095,0.86018,7.624e-05,7.624e-05,7.624e-05
8,93.8104,1.00834,0.67164,0.88729,0.98594,0.95382,0.98253,0.76316,0.86054,0.59412,0.8557,7.228e-05,7.228e-05,7.228e-05
9,105.157,0.98778,0.6549,0.88448,0.98729,0.95269,0.98454,0.77212,0.83306,0.57635,0.85104,6.832e-05,6.832e-05,6.832e-05
10,116.318,0.9844,0.64634,0.88226,0.98661,0.9532,0.98398,0.76746,0.84393,0.56932,0.85163,6.436e-05,6.436e-05,6.436e-05
11,127.703,0.9794,0.63765,0.87967,0.98923,0.95633,0.98595,0.76948,0.84525,0.56315,0.85056,6.04e-05,6.04e-05,6.04e-05
12,139.13,0.96697,0.62974,0.87654,0.98775,0.95716,0.98645,0.77114,0.83699,0.55388,0.84814,5.644e-05,5.644e-05,5.644e-05
13,150.647,0.9481,0.6156,0.87505,0.98849,0.95893,0.98774,0.78257,0.80284,0.54147,0.8425,5.248e-05,5.248e-05,5.248e-05
14,162.091,0.94446,0.61172,0.87297,0.98764,0.95973,0.98833,0.77759,0.81815,0.54107,0.84393,4.852e-05,4.852e-05,4.852e-05
15,173.228,0.94237,0.60705,0.87169,0.98792,0.96304,0.98884,0.78511,0.80458,0.53118,0.84088,4.456e-05,4.456e-05,4.456e-05
16,187.38,0.9004,0.70448,0.87239,0.98543,0.96271,0.98933,0.78051,0.81532,0.54215,0.84027,4.06e-05,4.06e-05,4.06e-05
17,197.017,0.88938,0.6453,0.86724,0.98999,0.96353,0.98988,0.78068,0.80581,0.55183,0.83853,3.664e-05,3.664e-05,3.664e-05
18,206.626,0.89362,0.64024,0.86511,0.98765,0.96724,0.9902,0.78063,0.79883,0.54262,0.83629,3.268e-05,3.268e-05,3.268e-05
19,216.294,0.88111,0.61968,0.86089,0.98815,0.96668,0.98982,0.78334,0.79254,0.53256,0.83436,2.872e-05,2.872e-05,2.872e-05
20,226.027,0.87872,0.62162,0.86209,0.98647,0.96773,0.99028,0.77959,0.80272,0.53182,0.83523,2.476e-05,2.476e-05,2.476e-05
21,235.677,0.87967,0.61805,0.86007,0.98706,0.96778,0.99063,0.78247,0.79476,0.52619,0.83464,2.08e-05,2.08e-05,2.08e-05
22,245.268,0.86266,0.60225,0.85821,0.98857,0.96792,0.99076,0.78733,0.78033,0.51868,0.83255,1.684e-05,1.684e-05,1.684e-05
23,254.908,0.85665,0.59948,0.85922,0.988,0.96829,0.99087,0.78734,0.78458,0.51901,0.83266,1.288e-05,1.288e-05,1.288e-05
24,264.53,0.84658,0.5888,0.85511,0.98716,0.96841,0.99075,0.78823,0.77982,0.51566,0.83214,8.92e-06,8.92e-06,8.92e-06
25,274.262,0.86646,0.59957,0.8578,0.98781,0.96842,0.9909,0.78729,0.7845,0.51634,0.8322,4.96e-06,4.96e-06,4.96e-06
