epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.8145,1.68017,2.94871,1.18116,0.15733,0.79288,0.38633,0.21976,1.2711,inf,1.0117,0.069031,3.1e-05,3.1e-05
2,25.1168,1.41084,1.80088,1.07199,0.1908,0.96153,0.74779,0.47606,1.18359,inf,0.98509,0.0370605,6.05052e-05,6.05052e-05
3,36.3862,1.3366,1.52622,1.03726,0.81869,0.79884,0.87584,0.59062,1.12919,inf,0.9674,0.00508748,8.7476e-05,8.7476e-05
4,48.2619,1.26995,1.20836,1.01782,0.88093,0.85637,0.93106,0.64635,1.08521,0.99396,0.94691,8.812e-05,8.812e-05,8.812e-05
5,59.3668,1.21935,1.05011,0.98816,0.91641,0.87914,0.94804,0.67582,1.03266,0.94007,0.92937,8.416e-05,8.416e-05,8.416e-05
6,70.3029,1.16602,1.00997,0.97708,0.94373,0.89733,0.95986,0.69408,1.00524,0.85437,0.92091,8.02e-05,8.02e-05,8.02e-05
7,81.414,1.15076,0.95123,0.95895,0.95592,0.90704,0.96565,0.7066,0.97907,0.81424,0.91344,7.624e-05,7.624e-05,7.624e-05
8,92.4732,1.12881,0.934,0.95438,0.95844,0.9145,0.96891,0.71459,0.96022,0.7945,0.90735,7.228e-05,7.228e-05,7.228e-05
9,103.573,1.10356,0.9029,0.94899,0.96188,0.91727,0.9702,0.72065,0.94643,0.77721,0.90247,6.832e-05,6.832e-05,6.832e-05
10,114.556,1.09788,0.88385,0.94452,0.96294,0.91794,0.97101,0.72618,0.9371,0.76347,0.8983,6.436e-05,6.436e-05,6.436e-05
11,125.758,1.09649,0.85971,0.9414,0.96333,0.92235,0.97217,0.73111,0.92527,0.74917,0.89608,6.04e-05,6.04e-05,6.04e-05
12,137.027,1.08006,0.85145,0.93613,0.96702,0.92356,0.97329,0.73302,0.91711,0.7408,0.89286,5.644e-05,5.644e-05,5.644e-05
13,148.382,1.05782,0.83268,0.93368,0.96879,0.92807,0.9745,0.73661,0.91173,0.73164,0.89113,5.248e-05,5.248e-05,5.248e-05
14,159.633,1.05721,0.82445,0.93161,0.97031,0.92783,0.97487,0.73833,0.90555,0.72478,0.88919,4.852e-05,4.852e-05,4.852e-05
15,170.842,1.05321,0.81859,0.93039,0.96853,0.93037,0.97524,0.7413,0.90094,0.71862,0.88749,4.456e-05,4.456e-05,4.456e-05
16,185.039,1.0024,1.00845,0.93572,0.97435,0.93807,0.97757,0.736,0.91549,0.74035,0.88757,4.06e-05,4.06e-05,4.06e-05
17,194.553,1.00211,0.96621,0.93054,0.97353,0.94045,0.97735,0.73743,0.92134,0.75048,0.88664,3.664e-05,3.664e-05,3.664e-05
18,204.128,1.00756,0.95993,0.92794,0.97502,0.93936,0.97706,0.73671,0.9201,0.74646,0.88645,3.268e-05,3.268e-05,3.268e-05
19,213.668,0.99847,0.94046,0.92379,0.97289,0.94079,0.97728,0.73685,0.92233,0.74457,0.88588,2.872e-05,2.872e-05,2.872e-05
20,223.209,0.99483,0.94461,0.92696,0.97156,0.94129,0.9775,0.73842,0.91806,0.7382,0.88491,2.476e-05,2.476e-05,2.476e-05
21,232.735,1.00425,0.94356,0.92438,0.97134,0.94011,0.97724,0.73802,0.91669,0.73609,0.88435,2.08e-05,2.08e-05,2.08e-05
22,242.235,0.98121,0.91263,0.92092,0.97205,0.94061,0.9774,0.7409,0.90854,0.72881,0.88273,1.684e-05,1.684e-05,1.684e-05
23,251.989,0.97234,0.90602,0.92239,0.97187,0.94003,0.97739,0.74144,0.9088,0.72697,0.88248,1.288e-05,1.288e-05,1.288e-05
24,261.434,0.96764,0.89066,0.91826,0.97235,0.93995,0.97739,0.74288,0.904,0.72468,0.88154,8.92e-06,8.92e-06,8.92e-06
25,270.991,0.99452,0.9099,0.92097,0.97071,0.94079,0.97728,0.74337,0.90593,0.72287,0.88141,4.96e-06,4.96e-06,4.96e-06
