epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.3554,0.01817,1.8068,1.0178,0.97778,0.65779,0.90072,0.57527,0.0179,1.63063,1.02862,0.06931,0.00031,0.00031
2,107.038,0.01492,0.71242,0.93565,0.95671,0.92399,0.96753,0.68749,0.01452,0.7769,0.93343,0.0376051,0.000605052,0.000605052
3,121.478,0.01363,0.60999,0.91334,0.98287,0.94462,0.98133,0.73525,0.01282,0.64147,0.89186,0.00587476,0.00087476,0.00087476
4,140.88,0.01297,0.55837,0.89634,0.98428,0.9512,0.98742,0.75483,0.01218,0.61893,0.88071,0.0008812,0.0008812,0.0008812
5,167.243,0.01249,0.53311,0.88881,0.99053,0.9675,0.99103,0.77101,0.01159,0.51725,0.86948,0.0008416,0.0008416,0.0008416
6,185.529,0.01253,0.51582,0.88492,0.99143,0.97154,0.99182,0.75214,0.01213,0.49669,0.87392,0.000802,0.000802,0.000802
7,246.902,0.01212,0.49581,0.88156,0.9909,0.97405,0.99246,0.77918,0.01125,0.46831,0.86049,0.0007624,0.0007624,0.0007624
8,293.186,0.01202,0.48829,0.87783,0.98946,0.97758,0.99321,0.78262,0.01101,0.45185,0.85526,0.0007228,0.0007228,0.0007228
9,320.722,0.0117,0.46979,0.87183,0.99267,0.97847,0.99315,0.77148,0.01142,0.44339,0.8628,0.0006832,0.0006832,0.0006832
10,381.652,0.0118,0.46211,0.8706,0.99167,0.97615,0.99272,0.79067,0.01082,0.44066,0.85038,0.0006436,0.0006436,0.0006436
11,415.665,0.01147,0.45094,0.86621,0.99169,0.9811,0.99374,0.80096,0.01046,0.41976,0.84652,0.000604,0.000604,0.000604
12,472.092,0.01125,0.43875,0.86285,0.98811,0.97704,0.99311,0.78141,0.01133,0.43004,0.85243,0.0005644,0.0005644,0.0005644
13,492.889,0.01144,0.43852,0.86509,0.99176,0.98008,0.99377,0.7995,0.01064,0.40828,0.84796,0.0005248,0.0005248,0.0005248
14,507.282,0.01101,0.42275,0.85963,0.99169,0.98225,0.99395,0.80144,0.01056,0.39989,0.84859,0.0004852,0.0004852,0.0004852
15,546.4,0.011,0.42136,0.85504,0.99416,0.98102,0.99397,0.80804,0.01036,0.39548,0.84279,0.0004456,0.0004456,0.0004456
16,625.721,0.01088,0.41199,0.85481,0.99243,0.98033,0.99378,0.80517,0.01042,0.39465,0.84209,0.000406,0.000406,0.000406
17,671.229,0.01087,0.40939,0.85373,0.99342,0.98295,0.99389,0.80869,0.01034,0.38716,0.84175,0.0003664,0.0003664,0.0003664
18,740.323,0.01082,0.40726,0.85269,0.99413,0.98219,0.99404,0.81419,0.01005,0.37936,0.83841,0.0003268,0.0003268,0.0003268
19,778.386,0.0105,0.39596,0.8507,0.99295,0.98206,0.99388,0.81465,0.01008,0.3761,0.83836,0.0002872,0.0002872,0.0002872
20,824.044,0.01072,0.40117,0.85236,0.99321,0.98275,0.99391,0.80852,0.01018,0.38251,0.83854,0.0002476,0.0002476,0.0002476
21,837.861,0.01059,0.39252,0.84998,0.99413,0.98345,0.99404,0.81715,0.01012,0.36946,0.83831,0.000208,0.000208,0.000208
22,885.315,0.01044,0.38608,0.84822,0.99404,0.98278,0.99389,0.82017,0.00993,0.36703,0.83575,0.0001684,0.0001684,0.0001684
23,950.363,0.01046,0.38652,0.84544,0.99304,0.98323,0.99396,0.82155,0.00988,0.36296,0.83508,0.0001288,0.0001288,0.0001288
24,1023.46,0.01033,0.38288,0.84392,0.99423,0.9832,0.99396,0.8241,0.00977,0.36128,0.83284,8.92e-05,8.92e-05,8.92e-05
25,1049.89,0.01018,0.37606,0.84513,0.99389,0.98364,0.99397,0.82593,0.00976,0.35889,0.83376,4.96e-05,4.96e-05,4.96e-05
