epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.105,1.49403,1.74838,1.03467,0.58377,0.86696,0.79837,0.45746,1.29078,1.69025,1.00207,0.0672286,3.28042e-05,3.28042e-05
2,22.6926,1.34206,1.03524,0.97643,0.93761,0.86494,0.94468,0.63567,1.14704,0.99818,0.9448,0.033926,6.35185e-05,6.35185e-05
3,32.9876,1.28809,0.90027,0.95362,0.95707,0.90988,0.96363,0.67526,1.06297,0.7595,0.9162,0.000620693,9.15928e-05,9.15928e-05
4,43.6966,1.21802,0.83008,0.93918,0.96357,0.9208,0.96875,0.69025,1.02737,0.72701,0.9053,8.812e-05,8.812e-05,8.812e-05
5,54.0249,1.20453,0.80653,0.93604,0.96988,0.92768,0.97272,0.70139,1.00605,0.69983,0.8994,8.416e-05,8.416e-05,8.416e-05
6,64.3407,1.17442,0.77802,0.92669,0.97439,0.92995,0.97359,0.70932,0.9933,0.68158,0.89318,8.02e-05,8.02e-05,8.02e-05
7,74.7545,1.15515,0.75796,0.9187,0.97335,0.93247,0.97464,0.71667,0.98097,0.66464,0.88899,7.624e-05,7.624e-05,7.624e-05
8,84.8701,1.14169,0.74327,0.91643,0.97392,0.93457,0.97538,0.72075,0.96731,0.65437,0.8847,7.228e-05,7.228e-05,7.228e-05
9,95.0817,1.12418,0.73171,0.91409,0.97445,0.93875,0.9766,0.72164,0.97203,0.64753,0.88373,6.832e-05,6.832e-05,6.832e-05
10,105.382,1.12212,0.72036,0.91108,0.97743,0.93857,0.97732,0.72972,0.95051,0.63208,0.8789,6.436e-05,6.436e-05,6.436e-05
11,115.668,1.12186,0.71427,0.90894,0.97764,0.94129,0.97795,0.73249,0.94219,0.623,0.87767,6.04e-05,6.04e-05,6.04e-05
12,125.975,1.11388,0.70893,0.90724,0.97784,0.94146,0.97804,0.73624,0.9315,0.61517,0.8755,5.644e-05,5.644e-05,5.644e-05
13,136.021,1.08879,0.69267,0.90437,0.97895,0.94531,0.97887,0.73887,0.92264,0.60656,0.87195,5.248e-05,5.248e-05,5.248e-05
14,146.385,1.08331,0.68804,0.90148,0.97857,0.94784,0.97971,0.74007,0.91819,0.60156,0.87148,4.852e-05,4.852e-05,4.852e-05
15,156.898,1.0867,0.68305,0.89872,0.97851,0.94863,0.97991,0.74111,0.91549,0.59733,0.86973,4.456e-05,4.456e-05,4.456e-05
16,169.462,0.99777,0.72748,0.89228,0.97771,0.95112,0.98035,0.73792,0.92498,0.60367,0.86877,4.06e-05,4.06e-05,4.06e-05
17,178.99,0.99666,0.68938,0.89175,0.97964,0.95095,0.98065,0.73849,0.91637,0.60391,0.86643,3.664e-05,3.664e-05,3.664e-05
18,188.562,1.00225,0.68798,0.88622,0.97921,0.95322,0.98104,0.73904,0.91188,0.59468,0.86557,3.268e-05,3.268e-05,3.268e-05
19,197.992,0.99239,0.67279,0.88605,0.97935,0.95364,0.98131,0.74329,0.90518,0.58694,0.8638,2.872e-05,2.872e-05,2.872e-05
20,207.675,0.99193,0.67495,0.88956,0.97864,0.95453,0.9816,0.74211,0.90799,0.58445,0.86365,2.476e-05,2.476e-05,2.476e-05
21,217.395,0.99614,0.66705,0.88484,0.97901,0.9559,0.9819,0.74532,0.90041,0.57921,0.86275,2.08e-05,2.08e-05,2.08e-05
22,226.98,0.97302,0.65384,0.88318,0.97966,0.95557,0.98221,0.74668,0.89928,0.57803,0.86224,1.684e-05,1.684e-05,1.684e-05
23,236.461,0.96847,0.65194,0.88362,0.98034,0.95515,0.98211,0.74703,0.89784,0.57502,0.86213,1.288e-05,1.288e-05,1.288e-05
24,245.8,0.97378,0.65053,0.88409,0.98035,0.95548,0.98226,0.7482,0.89547,0.57358,0.86158,8.92e-06,8.92e-06,8.92e-06
25,255.391,0.97589,0.64763,0.88089,0.98082,0.95548,0.98227,0.74811,0.89453,0.57297,0.86098,4.96e-06,4.96e-06,4.96e-06
