epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.6307,1.32469,1.41161,0.97851,0.94217,0.70199,0.88069,0.52868,1.3114,1.5991,0.97883,0.0675238,0.000328042,0.000328042
2,25.5055,1.10679,0.72361,0.91182,0.97799,0.94435,0.97867,0.72402,0.96458,0.63489,0.87734,0.0344976,0.000635185,0.000635185
3,37.7859,1.03798,0.6433,0.89117,0.98138,0.94406,0.98521,0.75836,0.87929,0.56367,0.8603,0.00144503,0.000915928,0.000915928
4,49.2304,0.98605,0.59252,0.88226,0.99037,0.95875,0.98817,0.75629,0.88652,0.54045,0.8566,0.0008812,0.0008812,0.0008812
5,60.8485,0.96597,0.57085,0.87744,0.98976,0.9657,0.99023,0.78133,0.81158,0.50528,0.84379,0.0008416,0.0008416,0.0008416
6,72.4571,0.92917,0.54366,0.86872,0.99102,0.96758,0.99091,0.78286,0.79705,0.47507,0.83975,0.000802,0.000802,0.000802
7,83.9939,0.91411,0.52422,0.86336,0.98929,0.9701,0.99143,0.78926,0.78308,0.47185,0.83674,0.0007624,0.0007624,0.0007624
8,95.4664,0.89949,0.51246,0.86112,0.99034,0.97322,0.99245,0.78812,0.79668,0.45418,0.83561,0.0007228,0.0007228,0.0007228
9,106.791,0.88333,0.49793,0.85863,0.98973,0.97631,0.99303,0.79113,0.77486,0.43765,0.83501,0.0006832,0.0006832,0.0006832
10,118.146,0.88392,0.48892,0.85757,0.99083,0.97749,0.99314,0.80062,0.75058,0.41819,0.82744,0.0006436,0.0006436,0.0006436
11,129.526,0.87447,0.47856,0.85515,0.99026,0.97606,0.99323,0.7958,0.76761,0.4173,0.82983,0.000604,0.000604,0.000604
12,141.032,0.86389,0.47459,0.85305,0.99008,0.97825,0.99344,0.80668,0.74045,0.40438,0.82601,0.0005644,0.0005644,0.0005644
13,152.295,0.84336,0.45972,0.85039,0.99222,0.97883,0.99357,0.80745,0.73613,0.40045,0.82519,0.0005248,0.0005248,0.0005248
14,163.693,0.84075,0.45749,0.84934,0.99169,0.98171,0.99397,0.80854,0.73055,0.39722,0.82328,0.0004852,0.0004852,0.0004852
15,175.197,0.83585,0.45081,0.84618,0.99127,0.98257,0.99377,0.8137,0.72408,0.39193,0.82073,0.0004456,0.0004456,0.0004456
16,188.029,0.8007,0.46232,0.84541,0.99245,0.97682,0.9936,0.80337,0.7434,0.41854,0.82398,0.000406,0.000406,0.000406
17,198.153,0.79017,0.43362,0.84334,0.9895,0.98133,0.9937,0.81098,0.71939,0.39308,0.82043,0.0003664,0.0003664,0.0003664
18,208.705,0.78936,0.43141,0.84055,0.99217,0.97957,0.99389,0.8115,0.7145,0.38718,0.81919,0.0003268,0.0003268,0.0003268
19,218.794,0.77563,0.41888,0.83981,0.99201,0.98011,0.99378,0.8128,0.7156,0.38093,0.81889,0.0002872,0.0002872,0.0002872
20,228.831,0.77618,0.41837,0.84122,0.9913,0.98068,0.99399,0.81412,0.71055,0.37399,0.81856,0.0002476,0.0002476,0.0002476
21,238.93,0.76939,0.41041,0.83668,0.99369,0.98127,0.99401,0.81517,0.70955,0.36867,0.8178,0.000208,0.000208,0.000208
22,249.033,0.7529,0.39898,0.83509,0.99296,0.9826,0.99409,0.81391,0.71473,0.36516,0.81759,0.0001684,0.0001684,0.0001684
23,259.114,0.74514,0.39346,0.83503,0.99203,0.98253,0.99405,0.81834,0.70268,0.36071,0.81661,0.0001288,0.0001288,0.0001288
24,269.252,0.74444,0.39241,0.83591,0.99137,0.98374,0.99407,0.81865,0.6992,0.35766,0.81549,8.92e-05,8.92e-05,8.92e-05
25,279.354,0.74058,0.38685,0.83139,0.99186,0.98255,0.99404,0.82208,0.68657,0.3523,0.81405,4.96e-05,4.96e-05,4.96e-05
