epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.3549,1.53445,2.19128,1.04904,0.18953,0.94448,0.73734,0.36668,1.40938,inf,1.01476,0.069031,3.1e-05,3.1e-05
2,23.4128,1.29222,1.0367,0.95657,0.9202,0.77087,0.91408,0.55573,1.20681,inf,0.9518,0.0370605,6.05052e-05,6.05052e-05
3,34.1022,1.2367,0.88134,0.93861,0.96683,0.91055,0.96493,0.67277,1.06759,0.98001,0.91194,0.00508748,8.7476e-05,8.7476e-05
4,44.1956,1.18256,0.81458,0.93184,0.97729,0.93267,0.97416,0.70846,0.99985,0.75251,0.89528,8.812e-05,8.812e-05,8.812e-05
5,53.9936,1.16129,0.77976,0.92108,0.98097,0.9365,0.97709,0.71834,0.98692,0.6984,0.88858,8.416e-05,8.416e-05,8.416e-05
6,63.7112,1.11968,0.76346,0.9162,0.98192,0.93986,0.97821,0.72872,0.96164,0.67005,0.87972,8.02e-05,8.02e-05,8.02e-05
7,73.5095,1.1199,0.73994,0.9074,0.98144,0.94162,0.97857,0.72881,0.95998,0.65726,0.87665,7.624e-05,7.624e-05,7.624e-05
8,83.3072,1.09964,0.72541,0.90485,0.98187,0.94255,0.97906,0.72846,0.95805,0.64406,0.87679,7.228e-05,7.228e-05,7.228e-05
9,93.0871,1.07204,0.70581,0.90115,0.98227,0.94452,0.98036,0.74269,0.92331,0.62443,0.86898,6.832e-05,6.832e-05,6.832e-05
10,102.825,1.07483,0.69887,0.89943,0.97966,0.94381,0.98094,0.72318,0.97171,0.62824,0.87703,6.436e-05,6.436e-05,6.436e-05
11,112.747,1.06848,0.68981,0.89622,0.98283,0.94658,0.98247,0.73081,0.95919,0.62284,0.87352,6.04e-05,6.04e-05,6.04e-05
12,122.96,1.05222,0.68048,0.89266,0.9849,0.94977,0.98446,0.7416,0.929,0.60476,0.86587,5.644e-05,5.644e-05,5.644e-05
13,132.487,1.03359,0.66559,0.89106,0.98522,0.95205,0.98557,0.75596,0.88967,0.58773,0.85865,5.248e-05,5.248e-05,5.248e-05
14,142.471,1.03029,0.66332,0.88851,0.98574,0.95263,0.98559,0.74429,0.92311,0.59218,0.86356,4.852e-05,4.852e-05,4.852e-05
15,152.201,1.02798,0.65752,0.88716,0.98553,0.95514,0.9865,0.75622,0.89705,0.58101,0.85917,4.456e-05,4.456e-05,4.456e-05
16,166.028,0.96991,0.7427,0.88691,0.98695,0.96061,0.9878,0.76034,0.88022,0.57505,0.85498,4.06e-05,4.06e-05,4.06e-05
17,175.154,0.95067,0.6816,0.87971,0.98729,0.95895,0.98899,0.75934,0.88297,0.58767,0.855,3.664e-05,3.664e-05,3.664e-05
18,183.715,0.95747,0.67856,0.87746,0.98555,0.96259,0.98936,0.76338,0.86886,0.58399,0.85058,3.268e-05,3.268e-05,3.268e-05
19,192.78,0.94555,0.65964,0.87375,0.98739,0.9603,0.98895,0.76094,0.87015,0.57614,0.85005,2.872e-05,2.872e-05,2.872e-05
20,201.447,0.93656,0.65874,0.87372,0.98636,0.9598,0.98913,0.75748,0.87833,0.57577,0.85066,2.476e-05,2.476e-05,2.476e-05
21,210.06,0.94514,0.65735,0.87274,0.98769,0.9601,0.98921,0.76074,0.87509,0.5707,0.8507,2.08e-05,2.08e-05,2.08e-05
22,218.554,0.9269,0.6418,0.8705,0.98699,0.9612,0.9895,0.76777,0.85526,0.56157,0.84756,1.684e-05,1.684e-05,1.684e-05
23,227.212,0.91635,0.63708,0.87081,0.98741,0.96144,0.98951,0.76698,0.85726,0.56014,0.84694,1.288e-05,1.288e-05,1.288e-05
24,235.88,0.90793,0.62716,0.86694,0.98871,0.96052,0.98951,0.76774,0.85497,0.55951,0.84713,8.92e-06,8.92e-06,8.92e-06
25,244.787,0.92919,0.63902,0.86911,0.98843,0.96109,0.98965,0.76641,0.85936,0.55958,0.84713,4.96e-06,4.96e-06,4.96e-06
