epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.8361,1.66581,2.33234,1.17844,0.15417,0.77692,0.41531,0.22758,1.3922,1.893,1.08976,0.0672286,3.28042e-05,3.28042e-05
2,22.006,1.60118,1.85485,1.15219,0.63158,0.42046,0.56164,0.32479,1.37933,1.67525,1.08413,0.033926,6.35185e-05,6.35185e-05
3,31.8585,1.58455,1.58854,1.13027,0.53384,0.59037,0.6166,0.36907,1.35546,1.36531,1.07115,0.000620693,9.15928e-05,9.15928e-05
4,41.7949,1.51852,1.35598,1.10892,0.60912,0.69055,0.714,0.43507,1.31031,1.3009,1.0526,8.812e-05,8.812e-05,8.812e-05
5,52.4065,1.49974,1.27122,1.09938,0.7361,0.76096,0.81273,0.49796,1.29009,1.16875,1.04293,8.416e-05,8.416e-05,8.416e-05
6,62.569,1.47714,1.20744,1.08572,0.79153,0.79641,0.85716,0.52965,1.27443,1.08237,1.03481,8.02e-05,8.02e-05,8.02e-05
7,72.3362,1.45088,1.16001,1.07153,0.81018,0.81055,0.87364,0.54888,1.2505,1.04498,1.0259,7.624e-05,7.624e-05,7.624e-05
8,82.2371,1.43197,1.12499,1.06451,0.8236,0.81606,0.8838,0.55859,1.24124,1.0159,1.02124,7.228e-05,7.228e-05,7.228e-05
9,92.106,1.40775,1.10242,1.06095,0.83542,0.82185,0.89248,0.56958,1.22576,0.99016,1.01558,6.832e-05,6.832e-05,6.832e-05
10,102.045,1.40998,1.08308,1.05628,0.84449,0.82692,0.89855,0.57792,1.21619,0.97547,1.01099,6.436e-05,6.436e-05,6.436e-05
11,111.847,1.40427,1.07364,1.05271,0.84705,0.83539,0.90301,0.58296,1.21132,0.96373,1.00929,6.04e-05,6.04e-05,6.04e-05
12,121.851,1.40293,1.06135,1.05103,0.85293,0.83748,0.90594,0.58443,1.2084,0.953,1.0079,5.644e-05,5.644e-05,5.644e-05
13,131.679,1.37434,1.048,1.04647,0.86126,0.84519,0.91195,0.59365,1.19421,0.94167,1.0021,5.248e-05,5.248e-05,5.248e-05
14,141.557,1.36914,1.0403,1.04411,0.86375,0.84764,0.91385,0.59282,1.19597,0.93641,1.00251,4.852e-05,4.852e-05,4.852e-05
15,151.416,1.37433,1.03173,1.03981,0.86522,0.84867,0.91547,0.59505,1.19411,0.93231,1.00112,4.456e-05,4.456e-05,4.456e-05
16,163.947,1.25993,1.14987,1.03248,0.87722,0.86032,0.92348,0.5975,1.1885,0.94451,0.98968,4.06e-05,4.06e-05,4.06e-05
17,173.65,1.26003,1.09722,1.03293,0.88443,0.86477,0.92795,0.60781,1.17817,0.93156,0.98584,3.664e-05,3.664e-05,3.664e-05
18,183.253,1.2692,1.10209,1.02469,0.88793,0.86805,0.92997,0.60839,1.17653,0.93107,0.98493,3.268e-05,3.268e-05,3.268e-05
19,192.621,1.26063,1.08361,1.02596,0.88854,0.8671,0.92999,0.61262,1.16905,0.92489,0.98307,2.872e-05,2.872e-05,2.872e-05
20,202.051,1.2604,1.09151,1.03387,0.88714,0.86771,0.92961,0.61152,1.16955,0.92057,0.98317,2.476e-05,2.476e-05,2.476e-05
21,211.573,1.26672,1.07631,1.02527,0.88642,0.86787,0.92978,0.61285,1.16566,0.91778,0.98229,2.08e-05,2.08e-05,2.08e-05
22,220.935,1.24228,1.05811,1.02466,0.88733,0.8685,0.92961,0.6138,1.16478,0.91408,0.98257,1.684e-05,1.684e-05,1.684e-05
23,230.399,1.23764,1.0573,1.02508,0.88809,0.86782,0.93024,0.61413,1.16428,0.91019,0.98248,1.288e-05,1.288e-05,1.288e-05
24,240.098,1.24802,1.06236,1.03039,0.88623,0.8695,0.93002,0.6144,1.16371,0.90965,0.98228,8.92e-06,8.92e-06,8.92e-06
25,249.798,1.25344,1.05007,1.02192,0.88719,0.86864,0.93004,0.61489,1.16283,0.90909,0.98202,4.96e-06,4.96e-06,4.96e-06
