epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.8647,1.64491,2.46744,1.16199,0.18443,0.92945,0.6005,0.35041,1.40156,inf,1.05679,0.06931,0.00031,0.00031
2,21.9368,1.51237,1.23168,1.09835,0.7942,0.76608,0.84471,0.5224,1.28933,1.26181,1.02089,0.0376051,0.000605052,0.000605052
3,31.0855,1.43948,1.01528,1.05919,0.85614,0.83244,0.90745,0.57175,1.26155,1.0349,1.01007,0.00587476,0.00087476,0.00087476
4,40.8318,1.37828,0.95041,1.04305,0.88636,0.86542,0.92911,0.60568,1.20539,0.90978,0.9907,0.0008812,0.0008812,0.0008812
5,49.795,1.34473,0.91175,1.02224,0.89481,0.87021,0.93495,0.61439,1.17837,0.82478,0.98128,0.0008416,0.0008416,0.0008416
6,58.6677,1.30201,0.89061,1.01745,0.9058,0.88353,0.94302,0.63539,1.13527,0.79772,0.96664,0.000802,0.000802,0.000802
7,67.7579,1.29178,0.86086,1.0005,0.91334,0.89459,0.94916,0.64405,1.12449,0.7756,0.96101,0.0007624,0.0007624,0.0007624
8,76.7203,1.27774,0.8495,0.99944,0.91751,0.8998,0.95246,0.64266,1.1253,0.76287,0.96156,0.0007228,0.0007228,0.0007228
9,85.613,1.25707,0.83133,0.99573,0.92615,0.9016,0.95513,0.65417,1.10055,0.74766,0.95458,0.0006832,0.0006832,0.0006832
10,94.5741,1.25779,0.82467,0.9926,0.92899,0.89955,0.95533,0.65975,1.08507,0.74392,0.94676,0.0006436,0.0006436,0.0006436
11,103.827,1.25764,0.81424,0.98956,0.93012,0.90534,0.95692,0.66245,1.0776,0.73429,0.94599,0.000604,0.000604,0.000604
12,112.701,1.24249,0.80799,0.98427,0.93342,0.90429,0.95759,0.65924,1.08796,0.73321,0.94731,0.0005644,0.0005644,0.0005644
13,121.663,1.2224,0.79251,0.98252,0.94593,0.90702,0.96168,0.67071,1.07387,0.71679,0.94383,0.0005248,0.0005248,0.0005248
14,130.876,1.22573,0.79064,0.98135,0.94144,0.90868,0.96066,0.66824,1.0686,0.72018,0.94256,0.0004852,0.0004852,0.0004852
15,139.744,1.22136,0.78655,0.97936,0.93736,0.90868,0.96038,0.67353,1.05967,0.71293,0.93743,0.0004456,0.0004456,0.0004456
16,152.758,1.12394,0.80584,0.97966,0.94789,0.91206,0.96229,0.6723,1.07124,0.7301,0.94004,0.000406,0.000406,0.000406
17,161.58,1.11826,0.77177,0.97321,0.94509,0.91078,0.96289,0.67958,1.04796,0.70335,0.93085,0.0003664,0.0003664,0.0003664
18,169.853,1.12455,0.77076,0.96977,0.949,0.91089,0.96383,0.6813,1.04344,0.70169,0.92788,0.0003268,0.0003268,0.0003268
19,177.998,1.117,0.75916,0.9667,0.9483,0.91424,0.96434,0.68028,1.04849,0.70244,0.92811,0.0002872,0.0002872,0.0002872
20,186.322,1.11875,0.76399,0.97228,0.94987,0.91408,0.96483,0.68552,1.03646,0.69481,0.92591,0.0002476,0.0002476,0.0002476
21,194.349,1.12554,0.76128,0.96835,0.95036,0.91499,0.96493,0.68491,1.0377,0.69288,0.92591,0.000208,0.000208,0.000208
22,202.459,1.10548,0.74743,0.96467,0.94949,0.91433,0.96506,0.68627,1.03488,0.6911,0.92521,0.0001684,0.0001684,0.0001684
23,210.859,1.09792,0.74625,0.9679,0.95153,0.91408,0.96483,0.68457,1.03794,0.689,0.92654,0.0001288,0.0001288,0.0001288
24,218.717,1.09175,0.73691,0.96357,0.95097,0.91458,0.96561,0.68494,1.03559,0.68697,0.92529,8.92e-05,8.92e-05,8.92e-05
25,226.72,1.11725,0.75001,0.96589,0.95065,0.91508,0.96496,0.6878,1.0302,0.68583,0.9243,4.96e-05,4.96e-05,4.96e-05
