epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.787,1.64769,2.76335,1.16214,0.19167,0.9659,0.81219,0.50221,1.25384,inf,0.99205,0.06931,0.00031,0.00031
2,24.0166,1.3144,1.09105,1.0176,0.92939,0.87226,0.94889,0.6638,1.10216,1.04207,0.94559,0.0376051,0.000605052,0.000605052
3,34.726,1.22192,0.82769,0.9758,0.96427,0.91399,0.96534,0.66759,1.13863,0.88022,0.95476,0.00587476,0.00087476,0.00087476
4,44.4949,1.15698,0.75622,0.95934,0.96222,0.92827,0.96948,0.69491,1.06234,0.73251,0.92764,0.0008812,0.0008812,0.0008812
5,54.3408,1.12049,0.71644,0.94014,0.97206,0.93088,0.97584,0.72862,0.9582,0.65804,0.90002,0.0008416,0.0008416,0.0008416
6,63.9238,1.08212,0.69543,0.93552,0.97739,0.9402,0.97782,0.73144,0.93585,0.63216,0.89083,0.000802,0.000802,0.000802
7,73.6609,1.07078,0.66959,0.92151,0.97796,0.93939,0.97873,0.73526,0.92431,0.59645,0.88624,0.0007624,0.0007624,0.0007624
8,83.2321,1.05228,0.65853,0.91966,0.98049,0.94549,0.98011,0.7467,0.90449,0.58654,0.88216,0.0007228,0.0007228,0.0007228
9,92.9685,1.03523,0.64202,0.91633,0.98092,0.94557,0.98067,0.75581,0.87756,0.5647,0.87465,0.0006832,0.0006832,0.0006832
10,102.72,1.03338,0.63548,0.91274,0.98391,0.95032,0.98185,0.75741,0.87152,0.5629,0.87243,0.0006436,0.0006436,0.0006436
11,112.561,1.03589,0.63029,0.90999,0.98414,0.9507,0.98191,0.74611,0.90372,0.5632,0.87832,0.000604,0.000604,0.000604
12,122.406,1.02079,0.62361,0.90629,0.98575,0.95271,0.98326,0.74549,0.90456,0.56664,0.87593,0.0005644,0.0005644,0.0005644
13,131.977,0.99921,0.60938,0.90366,0.98574,0.95439,0.9843,0.76477,0.85003,0.53662,0.86617,0.0005248,0.0005248,0.0005248
14,141.954,1.00165,0.60725,0.90306,0.9861,0.95632,0.98549,0.76163,0.85199,0.54305,0.86708,0.0004852,0.0004852,0.0004852
15,151.694,0.99897,0.60624,0.90146,0.98624,0.95707,0.986,0.76082,0.8574,0.53669,0.86651,0.0004456,0.0004456,0.0004456
16,165.379,0.94704,0.65749,0.90663,0.9875,0.96207,0.98481,0.76337,0.86082,0.61182,0.86443,0.000406,0.000406,0.000406
17,174.215,0.92889,0.61188,0.89638,0.98372,0.9601,0.98777,0.76803,0.84321,0.54845,0.8592,0.0003664,0.0003664,0.0003664
18,182.928,0.92709,0.60105,0.8942,0.98357,0.96066,0.98754,0.76689,0.85189,0.53771,0.86085,0.0003268,0.0003268,0.0003268
19,191.58,0.91884,0.59142,0.89058,0.98315,0.96042,0.98804,0.76469,0.85167,0.53618,0.86052,0.0002872,0.0002872,0.0002872
20,200.185,0.91471,0.59094,0.89318,0.98383,0.96095,0.98809,0.76817,0.84404,0.53238,0.85941,0.0002476,0.0002476,0.0002476
21,208.916,0.92312,0.59096,0.89091,0.98377,0.96212,0.98851,0.76955,0.84258,0.52811,0.85893,0.000208,0.000208,0.000208
22,217.294,0.90273,0.57574,0.88841,0.98473,0.96036,0.98836,0.76709,0.8452,0.52691,0.85934,0.0001684,0.0001684,0.0001684
23,225.89,0.89744,0.57323,0.89006,0.98532,0.96153,0.98848,0.77287,0.83095,0.52137,0.85658,0.0001288,0.0001288,0.0001288
24,234.673,0.88841,0.56311,0.8857,0.98522,0.96128,0.98853,0.76996,0.83688,0.52183,0.85768,8.92e-05,8.92e-05,8.92e-05
25,243.272,0.90757,0.57499,0.88729,0.98546,0.96211,0.98874,0.7706,0.83465,0.52079,0.85705,4.96e-05,4.96e-05,4.96e-05
