epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.6739,0.0091,1.80715,1.01874,0.97562,0.65553,0.89663,0.57194,0.00897,1.6287,1.03121,0.06931,0.00031,0.00031
2,85.3507,0.00746,0.7102,0.93653,0.95444,0.92194,0.9654,0.67377,0.00749,0.77455,0.94698,0.0376051,0.000605052,0.000605052
3,99.0214,0.00683,0.60858,0.91504,0.98243,0.94371,0.9803,0.73278,0.00641,0.64277,0.89012,0.00587476,0.00087476,0.00087476
4,118.061,0.0065,0.55758,0.89722,0.98547,0.95045,0.98682,0.75619,0.00606,0.60652,0.88126,0.0008812,0.0008812,0.0008812
5,144.616,0.00626,0.53305,0.89032,0.98944,0.96755,0.99066,0.77346,0.00573,0.51655,0.86881,0.0008416,0.0008416,0.0008416
6,166.657,0.00625,0.51578,0.88552,0.99034,0.9729,0.99149,0.75231,0.0061,0.49941,0.87493,0.000802,0.000802,0.000802
7,230.648,0.00605,0.49258,0.88213,0.99205,0.97431,0.99294,0.78125,0.00558,0.4649,0.85945,0.0007624,0.0007624,0.0007624
8,271.96,0.00602,0.48731,0.87907,0.99068,0.97606,0.99321,0.78018,0.00556,0.45439,0.85718,0.0007228,0.0007228,0.0007228
9,298.424,0.00585,0.47,0.87197,0.99292,0.97752,0.99308,0.77887,0.00557,0.43846,0.85835,0.0006832,0.0006832,0.0006832
10,363.452,0.00589,0.46162,0.87107,0.98846,0.97827,0.9928,0.79226,0.00543,0.43951,0.85156,0.0006436,0.0006436,0.0006436
11,399.057,0.00576,0.45153,0.86763,0.99051,0.982,0.99378,0.79825,0.00525,0.42096,0.84802,0.000604,0.000604,0.000604
12,455.339,0.00567,0.44006,0.86451,0.99049,0.97682,0.99328,0.77097,0.00579,0.4311,0.85561,0.0005644,0.0005644,0.0005644
13,476.178,0.00574,0.43772,0.86613,0.99361,0.97892,0.99372,0.80121,0.0053,0.40618,0.84911,0.0005248,0.0005248,0.0005248
14,490.539,0.00551,0.42245,0.86035,0.99203,0.98219,0.99395,0.79058,0.00546,0.40338,0.85408,0.0004852,0.0004852,0.0004852
15,528.785,0.00553,0.42184,0.8565,0.99323,0.98144,0.99393,0.80655,0.00521,0.39523,0.8435,0.0004456,0.0004456,0.0004456
16,604.425,0.00543,0.41194,0.85479,0.99278,0.98123,0.99372,0.80377,0.00521,0.39674,0.84177,0.000406,0.000406,0.000406
17,646.278,0.00545,0.41066,0.85427,0.99363,0.98329,0.99387,0.80967,0.00517,0.38774,0.84139,0.0003664,0.0003664,0.0003664
18,712.988,0.00541,0.40767,0.85304,0.99283,0.98303,0.99402,0.81478,0.00504,0.37965,0.83843,0.0003268,0.0003268,0.0003268
19,751.122,0.00525,0.39658,0.85094,0.99371,0.98255,0.99395,0.81396,0.00505,0.37641,0.83872,0.0002872,0.0002872,0.0002872
20,811.186,0.00537,0.40102,0.85284,0.99336,0.9832,0.99382,0.80781,0.00508,0.38406,0.83842,0.0002476,0.0002476,0.0002476
21,824.895,0.00532,0.39337,0.85069,0.99414,0.98341,0.99402,0.82023,0.00503,0.3695,0.83739,0.000208,0.000208,0.000208
22,868.196,0.00523,0.38633,0.84847,0.99372,0.98282,0.99395,0.82125,0.00496,0.36667,0.83528,0.0001684,0.0001684,0.0001684
23,932.09,0.00524,0.38646,0.84579,0.99433,0.9827,0.99402,0.82405,0.00492,0.36389,0.83411,0.0001288,0.0001288,0.0001288
24,988.092,0.00518,0.38325,0.84441,0.99423,0.98337,0.99401,0.82494,0.0049,0.36085,0.83309,8.92e-05,8.92e-05,8.92e-05
25,1013.21,0.0051,0.37649,0.84534,0.99415,0.98362,0.99399,0.82635,0.00489,0.35955,0.83337,4.96e-05,4.96e-05,4.96e-05
