epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.6916,1.67608,2.62081,1.17772,0.14253,0.71829,0.34012,0.18254,1.41308,inf,1.07939,0.069031,3.1e-05,3.1e-05
2,22.0266,1.60676,1.89617,1.1519,0.17683,0.89115,0.54774,0.31551,1.39317,inf,1.0737,0.0370605,6.05052e-05,6.05052e-05
3,31.3291,1.57653,1.66211,1.1303,0.58549,0.46724,0.5891,0.34993,1.37924,1.54434,1.06688,0.00508748,8.7476e-05,8.7476e-05
4,41.0592,1.54088,1.42362,1.12248,0.5769,0.65175,0.67662,0.40963,1.33976,1.30693,1.05087,8.812e-05,8.812e-05,8.812e-05
5,50.1042,1.51349,1.3065,1.09943,0.70877,0.74559,0.79252,0.48447,1.30946,1.25383,1.03776,8.416e-05,8.416e-05,8.416e-05
6,59.2842,1.46155,1.24804,1.08954,0.78216,0.79531,0.85047,0.52379,1.28919,1.12662,1.02953,8.02e-05,8.02e-05,8.02e-05
7,68.2042,1.45859,1.18829,1.071,0.8081,0.80819,0.87044,0.54275,1.26651,1.06262,1.02124,7.624e-05,7.624e-05,7.624e-05
8,77.266,1.4363,1.16231,1.06595,0.81917,0.81446,0.8812,0.55511,1.25611,1.02382,1.01688,7.228e-05,7.228e-05,7.228e-05
9,86.3918,1.4103,1.12695,1.06147,0.83324,0.8195,0.89021,0.56567,1.24094,0.99303,1.01108,6.832e-05,6.832e-05,6.832e-05
10,95.2297,1.40932,1.10619,1.05692,0.83816,0.82343,0.89453,0.57441,1.22871,0.97665,1.00511,6.436e-05,6.436e-05,6.436e-05
11,104.313,1.41529,1.08413,1.0547,0.8427,0.83246,0.90069,0.57903,1.22587,0.96241,1.0046,6.04e-05,6.04e-05,6.04e-05
12,113.565,1.39231,1.07079,1.04748,0.84948,0.83713,0.90423,0.58122,1.22024,0.95099,1.00183,5.644e-05,5.644e-05,5.644e-05
13,122.304,1.36608,1.05346,1.04295,0.85584,0.84169,0.90888,0.59138,1.20605,0.9391,0.99712,5.248e-05,5.248e-05,5.248e-05
14,131.387,1.37685,1.04745,1.04361,0.8584,0.84319,0.91125,0.59111,1.20498,0.93389,0.99585,4.852e-05,4.852e-05,4.852e-05
15,140.544,1.36659,1.03959,1.03954,0.86182,0.8481,0.91409,0.59302,1.2039,0.92776,0.99545,4.456e-05,4.456e-05,4.456e-05
16,154.201,1.25274,1.15814,1.0339,0.87494,0.85913,0.92262,0.59232,1.20843,0.92746,0.98966,4.06e-05,4.06e-05,4.06e-05
17,162.595,1.25294,1.11006,1.03018,0.88043,0.86578,0.92623,0.60328,1.19363,0.92915,0.98396,3.664e-05,3.664e-05,3.664e-05
18,170.843,1.26171,1.10947,1.02701,0.88647,0.86636,0.92887,0.60681,1.18635,0.9285,0.97996,3.268e-05,3.268e-05,3.268e-05
19,179.467,1.25435,1.095,1.02367,0.88532,0.86746,0.92813,0.61061,1.17716,0.92323,0.9772,2.872e-05,2.872e-05,2.872e-05
20,187.69,1.25434,1.1027,1.02964,0.88384,0.86729,0.92801,0.60993,1.17677,0.91831,0.97714,2.476e-05,2.476e-05,2.476e-05
21,195.92,1.26399,1.10078,1.02571,0.88198,0.86687,0.92736,0.61001,1.17519,0.91787,0.97675,2.08e-05,2.08e-05,2.08e-05
22,204.236,1.24339,1.07483,1.02179,0.88215,0.86822,0.92826,0.6126,1.17225,0.91399,0.97602,1.684e-05,1.684e-05,1.684e-05
23,212.192,1.23293,1.07098,1.02457,0.88385,0.86859,0.9286,0.6132,1.17089,0.91063,0.9754,1.288e-05,1.288e-05,1.288e-05
24,220.834,1.23073,1.05845,1.02225,0.88336,0.86855,0.92909,0.61525,1.16785,0.90845,0.97466,8.92e-06,8.92e-06,8.92e-06
25,228.805,1.2614,1.07806,1.02459,0.88351,0.86764,0.92879,0.61519,1.16771,0.90846,0.97428,4.96e-06,4.96e-06,4.96e-06
