epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.6166,1.57452,2.24072,1.05648,0.25562,0.93575,0.74764,0.38338,1.34852,inf,1.00348,0.069031,3.1e-05,3.1e-05
2,23.452,1.35312,1.11035,0.97857,0.90192,0.76205,0.8974,0.55301,1.20614,inf,0.95523,0.0370605,6.05052e-05,6.05052e-05
3,33.9535,1.29157,0.9369,0.95541,0.9496,0.88518,0.95383,0.64447,1.12594,0.9759,0.92707,0.00508748,8.7476e-05,8.7476e-05
4,43.741,1.24073,0.87182,0.94767,0.95395,0.91513,0.96543,0.68027,1.06206,0.79188,0.91093,8.812e-05,8.812e-05,8.812e-05
5,53.399,1.21241,0.8329,0.9347,0.9683,0.92172,0.96991,0.69174,1.0417,0.74033,0.90232,8.416e-05,8.416e-05,8.416e-05
6,62.7638,1.17309,0.81606,0.92963,0.97058,0.9281,0.97306,0.70592,1.00791,0.71214,0.89256,8.02e-05,8.02e-05,8.02e-05
7,72.3622,1.17488,0.79015,0.92022,0.97405,0.93334,0.9746,0.71248,0.99103,0.69498,0.88809,7.624e-05,7.624e-05,7.624e-05
8,81.9871,1.15537,0.77553,0.91784,0.97345,0.93348,0.97484,0.71839,0.97528,0.67747,0.88433,7.228e-05,7.228e-05,7.228e-05
9,91.491,1.13171,0.7559,0.91446,0.97585,0.93323,0.97554,0.72484,0.96221,0.66381,0.88039,6.832e-05,6.832e-05,6.832e-05
10,100.995,1.13051,0.74718,0.91223,0.97611,0.93358,0.97641,0.72436,0.96389,0.65621,0.87853,6.436e-05,6.436e-05,6.436e-05
11,110.59,1.12858,0.73791,0.90992,0.97494,0.94121,0.97774,0.7287,0.95531,0.6489,0.87713,6.04e-05,6.04e-05,6.04e-05
12,120.522,1.11204,0.72815,0.90581,0.97629,0.94062,0.97788,0.73237,0.94658,0.63814,0.87373,5.644e-05,5.644e-05,5.644e-05
13,129.789,1.09045,0.71283,0.90355,0.97761,0.94254,0.97887,0.73449,0.9413,0.62857,0.87223,5.248e-05,5.248e-05,5.248e-05
14,139.446,1.09319,0.7101,0.90225,0.97614,0.94608,0.97957,0.73591,0.93708,0.62344,0.87109,4.852e-05,4.852e-05,4.852e-05
15,149.07,1.08909,0.70556,0.90019,0.97712,0.94715,0.97986,0.73856,0.93427,0.61858,0.86963,4.456e-05,4.456e-05,4.456e-05
16,162.594,0.9914,0.75497,0.89148,0.97606,0.95186,0.98077,0.73916,0.92984,0.62487,0.86657,4.06e-05,4.06e-05,4.06e-05
17,171.675,0.99413,0.72212,0.8888,0.97883,0.95288,0.98062,0.73643,0.92992,0.63992,0.86444,3.664e-05,3.664e-05,3.664e-05
18,180.303,1.00019,0.71799,0.88704,0.98003,0.95232,0.9815,0.73961,0.92228,0.61668,0.86325,3.268e-05,3.268e-05,3.268e-05
19,189.126,0.9928,0.69911,0.88478,0.97926,0.95192,0.9817,0.74342,0.91574,0.60949,0.86153,2.872e-05,2.872e-05,2.872e-05
20,197.752,0.9876,0.69986,0.88634,0.97958,0.95288,0.98185,0.74338,0.91737,0.60558,0.86159,2.476e-05,2.476e-05,2.476e-05
21,206.117,0.99525,0.69884,0.88402,0.9787,0.95439,0.98199,0.74536,0.91046,0.60107,0.86027,2.08e-05,2.08e-05,2.08e-05
22,214.905,0.97838,0.68342,0.88238,0.97951,0.95456,0.98223,0.74699,0.90602,0.59685,0.85927,1.684e-05,1.684e-05,1.684e-05
23,223.375,0.97242,0.68098,0.88402,0.97932,0.95455,0.98217,0.74533,0.9101,0.59625,0.8597,1.288e-05,1.288e-05,1.288e-05
24,231.918,0.96416,0.67181,0.88033,0.97999,0.95413,0.9823,0.74789,0.9037,0.5931,0.85875,8.92e-06,8.92e-06,8.92e-06
25,240.732,0.98665,0.68388,0.8825,0.9799,0.95383,0.9823,0.7471,0.90565,0.59366,0.85859,4.96e-06,4.96e-06,4.96e-06
